id;name;login;password;role;post
86c7f767-be6e-4f03-bc4c-4111d57c4519;Mike Schultz;briannaray;F_*8YjAv&c;1;The referee is at the finish line
ceecc5f2-1271-4dde-b457-c7681700824a;Christine Hart;wilsonbrenda;+p2JWZMk1^;2;Chairman of the protest Committee (chief umpire in races with direct judging on the water)
43b88170-4bd9-4308-ae13-27bae077ec4b;Melinda Arnold;garrettjennifer;%1n$&UFo7D;1;The referee is at the starting line
786d3f1a-98af-4c59-838b-e43ccea6738b;Laura Ross;ramseygabrielle;!0+Az!_!ta;1;"Judge of the protest committee; empire in races with direct judging on the water"
78aa0954-b009-4a2e-be7b-5ab38fd7441b;Bonnie Jackson;garyhorton;O$*Tu0UkaY;2;The senior judge at the finish line
9d83d88f-ada1-4a3b-8ef9-cf5f2ed52b8d;Kathleen Wilcox;turnerjacqueline;y0DSw@r8%y;2;The referee is at the finish line
d0fd5d41-452f-4f09-9d78-fb27a3d2d3af;Christopher Farmer;tara88;@3V3!sO0o5;2;Chairman of the protest Committee (chief umpire in races with direct judging on the water)
c4679f44-920a-484e-a4fc-ff6bc9618f9d;Monica Cox;jacksonjoshua;_Hoi7Z@dX2;2;The referee is at the finish line
852f3c44-c942-4b8f-8e47-fc2ba8f8b4e4;Mary Tran;pamela38;j9_7DB*wWQ;1;Senior judge at the start
da509cbf-fbbe-42e3-ad31-2e020dc3dcbc;Molly Rosario;alyssagoodwin;%GN)3r$6i1;2;Chairman of the Technical Committee
6072c1bb-61d4-49ba-9b5a-8c687123632a;Douglas Smith;whitneyjames;lG$2Cncu(M;2;Chairman of the protest Committee (chief umpire in races with direct judging on the water)
3ee31be2-3fa0-4d12-8fd7-66e7ba02fa0f;Danielle Fuller;clarkchristina;_982%cFXfo;2;The senior judge at the finish line
238f8329-be28-4632-9706-55b3c37f14cd;Jessica Smith;rosecrosby;$q_Q1QCthw;1;Senior judge at the start
87bfb936-703d-423b-9f7d-46150538c6ed;Danielle Barnes;jill95;@o96CoSmMn;1;"Judge of the protest committee; empire in races with direct judging on the water"
88b9c276-3043-46b9-ad8d-ab86e6d1c6e0;Leslie Lawrence;uadams;sA2W3*Xx#R;2;Chairman of the protest Committee (chief umpire in races with direct judging on the water)
69d72aeb-06a4-428b-9e73-438c764a1bc2;Shelley Lloyd;billy74;^51QNyzz!^;1;Chairman of the Technical Committee
505ddc5d-2def-40aa-b590-32f33cc79224;John Bailey;glassjason;$7_Y5F^zXq;1;"Judge of the protest committee; empire in races with direct judging on the water"
d709ec59-3acd-4cc4-a440-7eccfec2ec9c;Danielle Warren;julie98;!qAfjMYm6Z;1;Chief Secretary
076fd453-3561-47e1-b2e4-0a74410503c1;Christopher Cook;averyjennifer;*50sBEzg7$;1;Deputy Chief Judge for the MTO
d135c981-dea0-4f70-baa6-17516f98d18d;Kerry Juarez;myork;7w9qIwYD7$;2;"Judge of the protest committee; empire in races with direct judging on the water"
